J_Fee,J_Fer,AA,Label
0,0.032258065,0,1
0.058823529,0.202586207,7.414004348,1
0.055776892,0.06547619,7.029562949,1
0,0,0,1
0,0.052631579,0,1
0,0.194388778,0,1
0,0.05982906,0,1
0,0.214285714,0,1
0,0,0,1
0,0,0,1
0.024512256,0.041791045,23.50311726,1
0.005504587,0.021164021,2.760612607,1
0.010964912,0.036697248,14.31519496,1
0,0,0,1
3.27E-05,0,0.627758922,1
0,0.250713606,0,1
0,0,0,1
0,0,0,1
0,0.082901554,0,1
0.130573248,0.238095238,20.30793216,1
0,0.023351648,0,1
0,0.091324201,0,1
0,0.027027027,0,1
0.040870138,0.074265976,23.80968012,1
0,0,0,1
0.034825871,0.092511013,2.816670337,1
0,0.09375,0,1
0,0.125195618,0,1
0,0.022988506,0,1
0,0.007142857,0,1
0.018106223,0.055921053,74.7319767,1
0,0,0,1
0.082352941,0.107142857,2.527882321,1
0,0,0,1
0,0,0,1
0.038095238,0.015817223,3.338709304,1
0,0.194630872,0,1
0.053398058,0.025547445,10.40843986,1
0,0,0,1
0,0,0,1
0.00393377,0.02283105,47.30552582,1
0,0.051724138,0,1
0,0.019230769,0,1
0,0.000529942,0,1
0,0.5,0,1
0,0.037037037,0,1
0,0,0,1
0.014563107,0.027027027,1.132133819,1
0.015748031,0.025,2.955168354,1
0,0.128205128,0,1
0,0,0,1
0,0.016906171,0,1
0,0.052631579,0,1
0,0,0,1
0,0,0,1
0,0.044444444,0,1
0,0.014577259,0,1
0,0.3,0,1
0,0,0,1
0.066666667,0.183673469,7.230644132,1
0.002254283,0,7.423489339,1
0,0.096385542,0,1
0.005847953,0.041666667,0.408121769,1
0.005420054,0.015151515,0.932349233,1
0,0,0,1
0,0.05,0,1
0,0.064935065,0,1
0,0,0,1
0.019157088,0.014492754,18.0485756,1
0,0.036144578,0,1
0,0.02173913,0,1
0,0,0,1
0,0.02484472,0,1
0,0,0,1
0,0.053571429,0,1
0,0.080745342,0,1
0,0,0,1
0,0.022222222,0,1
0.006988353,0.00681431,7.49705646,1
0,0.195121951,0,1
0,0.039808917,0,1
0.017699115,0.047858942,1.288044967,1
0.030753968,0.034482759,12.33356627,1
0,0.111111111,0,1
0,0,0,1
0,0,0,1
0,0.108108108,0,1
0,0.021276596,0,1
0,0.272727273,0,1
0,0.057416268,0,1
0,0.040106952,0,1
0,0.023809524,0,1
0,0,0,1
0,0,0,1
0.008547009,0.001805054,0.469410012,1
0,0.010152284,0,1
0,0.5,0,1
0,0,0,1
0,0,0,1
0,0.143646409,0,1
0,0,0,1
0,0.037610619,0,1
0,0,0,1
0,0,0,1
0,0.083333333,0,1
0,0,0,1
0,0.04,0,1
0.010835214,0.010104412,9.071634445,1
0,0,0,1
0.00240096,0.002659574,0.680548109,1
0,0.075949367,0,1
0,0,0,1
0,0.129976581,0,1
0,0.078341014,0,1
0,0.136363636,0,1
0,0.003738318,0,1
0.086956522,0.181818182,3.911649283,1
0,0.039215686,0,1
0,0,0,1
0,0,0,1
0,0.034246575,0,1
0,0.017647059,0,1
0,0.04950495,0,1
0.022880215,0.103658537,18.20260123,1
0.00104712,0,0.299131219,1
0.072289157,0.171428571,8.308721564,1
0,0.090909091,0,1
0,0.000794913,0,1
0.066579634,0.20441989,24.4265883,1
0,0.04245283,0,1
0,0.05027933,0,1
0,0.065868263,0,1
0,0.142857143,0,1
0.037433155,0.00219539,4.734519098,1
0,0.044117647,0,1
0.02484472,0.016270338,3.68102416,1
0,0,0,1
0,0.19047619,0,1
0,0,0,1
0,0.111111111,0,1
0.028571429,0.014912281,1.010920286,1
0.094142259,0.063768116,18.16032498,1
0,0.242424242,0,1
0,0.02238806,0,1
0,0.055555556,0,1
0,0,0,1
0.003378378,0.070359281,1.394027871,1
0,0.04,0,1
0,0.184466019,0,1
0,0.05907173,0,1
0,0,0,1
0,0.10652921,0,1
0,0,0,1
0.011135857,0.03125,21.30138947,1
0.225490196,0.323076923,12.11936083,1
0,0.176767677,0,1
0,0.10755814,0,1
0,0,0,1
0.005988024,0.03125,0.926628408,1
0,0.08045977,0,1
0,0,0,1
0.175675676,0.434782609,8.714685566,1
0,0.232804233,0,1
0,0.011363636,0,1
0,0,0,1
0.046456693,0.134883721,28.13686281,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0.052631579,0,1
0.06122449,0.054545455,7.035743812,1
0,0.061111111,0,1
0,0,0,1
0.019607843,0.176470588,0.402297695,1
0,0.190031153,0,1
0,0.090277778,0,1
0.039473684,0.119047619,2.509559906,1
0,0.015873016,0,1
0,0,0,1
0.021505376,0,3.13338014,1
0.021750524,0.108545035,39.68683114,1
0,0.005128205,0,1
0,0,0,1
0,0.017857143,0,1
0,0.029745042,0,1
0,0,0,1
0,0.118644068,0,1
0,0.032258065,0,1
0,0,0,1
0.080808081,0.002444988,3.048813161,1
0,0.002412545,0,1
0,0.001126126,0,1
0.03768624,0.162790698,26.89016225,1
0,0,0,1
0,0,0,1
0.000379795,0.002969562,0.888222285,1
0,0.018518519,0,1
0,0.007978723,0,1
0,0,0,1
0,0.035294118,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0.142276423,0.266055046,20.14224561,1
0.050925926,0.013363029,3.774269055,1
0,0.08627451,0,1
0,0.122009569,0,1
0,0,0,1
0.027377522,0.071868583,7.567412528,1
0,0,0,1
0,0.018348624,0,1
0,0.016393443,0,1
