J_Fee,J_Fer,C_Fee,C_Fer,AA,Label
0,0.032258065,0,0.014847847,0,1
0.058823529,0.202586207,0.198302841,0.061032373,7.414004348,1
0.055776892,0.06547619,0.132075472,0.015469653,7.029562949,1
0,0,0,0,0,1
0,0.052631579,0,0.051639778,0,1
0,0.194388778,0,0.017942156,0,1
0,0.05982906,0,0.007843753,0,1
0,0.214285714,0,0.091766294,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0.024512256,0.041791045,0.079545874,0.016495722,23.50311726,1
0.005504587,0.021164021,0.018218661,0.004012026,2.760612607,1
0.010964912,0.036697248,0.026859342,0.004952052,14.31519496,1
0,0,0,0,0,1
3.27E-05,0,0.001854232,0,0.627758922,1
0,0.250713606,0,0.010158593,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0.082901554,0,0.024170287,0,1
0.130573248,0.238095238,0.231317459,0.048479938,20.30793216,1
0,0.023351648,0,0.011746733,0,1
0,0.091324201,0,0.032607733,0,1
0,0.027027027,0,0.008128552,0,1
0.040870138,0.074265976,0.082310539,0.007517666,23.80968012,1
0,0,0,0,0,1
0.034825871,0.092511013,0.103490978,0.016931603,2.816670337,1
0,0.09375,0,0.134703977,0,1
0,0.125195618,0,0.010791277,0,1
0,0.022988506,0,0.009324237,0,1
0,0.007142857,0,0.012126781,0,1
0.018106223,0.055921053,0.058176643,0.009401996,74.7319767,1
0,0,0,0,0,1
0.082352941,0.107142857,0.156720782,0.05197192,2.527882321,1
0,0,0,0,0,1
0,0,0,0,0,1
0.038095238,0.015817223,0.127128345,0.004003559,3.338709304,1
0,0.194630872,0,0.02245342,0,1
0.053398058,0.025547445,0.139452942,0.007511992,10.40843986,1
0,0,0,0,0,1
0,0,0,0,0,1
0.00393377,0.02283105,0.019106632,0.003046819,47.30552582,1
0,0.051724138,0,0.017025131,0,1
0,0.019230769,0,0.009361115,0,1
0,0.000529942,0,0.003841837,0,1
0,0.5,0,0.5,0,1
0,0.037037037,0,0.009371434,0,1
0,0,0,0,0,1
0.014563107,0.027027027,0.0499307,0.003966206,1.132133819,1
0.015748031,0.025,0.045459764,0.005780851,2.955168354,1
0,0.128205128,0,0.079126207,0,1
0,0,0,0,0,1
0,0.016906171,0,0.001950115,0,1
0,0.052631579,0,0.085951771,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0.044444444,0,0.01754386,0,1
0,0.014577259,0,0.024760669,0,1
0,0.3,0,0.135772709,0,1
0,0,0,0,0,1
0.066666667,0.183673469,0.125052039,0.054032862,7.230644132,1
0.002254283,0,0.009197923,0,7.423489339,1
0,0.096385542,0,0.017010345,0,1
0.005847953,0.041666667,0.031686213,0.026243194,0.408121769,1
0.005420054,0.015151515,0.015655607,0.00599243,0.932349233,1
0,0,0,0,0,1
0,0.05,0,0.008833272,0,1
0,0.064935065,0,0.018939394,0,1
0,0,0,0,0,1
0.019157088,0.014492754,0.065002251,0.014731391,18.0485756,1
0,0.036144578,0,0.013702059,0,1
0,0.02173913,0,0.014153463,0,1
0,0,0,0,0,1
0,0.02484472,0,0.0152044,0,1
0,0,0,0,0,1
0,0.053571429,0,0.014202864,0,1
0,0.080745342,0,0.015133446,0,1
0,0,0,0,0,1
0,0.022222222,0,0.010744306,0,1
0.006988353,0.00681431,0.056122255,0.001494643,7.49705646,1
0,0.195121951,0,0.074278135,0,1
0,0.039808917,0,0.003917258,0,1
0.017699115,0.047858942,0.054923504,0.005882193,1.288044967,1
0.030753968,0.034482759,0.062271096,0.005615883,12.33356627,1
0,0.111111111,0,0.062567927,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0.108108108,0,0.097999192,0,1
0,0.021276596,0,0.006004625,0,1
0,0.272727273,0,0.12493901,0,1
0,0.057416268,0,0.019007148,0,1
0,0.040106952,0,0.005148158,0,1
0,0.023809524,0,0.025324573,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0.008547009,0.001805054,0.019462474,0.000580234,0.469410012,1
0,0.010152284,0,0.018089365,0,1
0,0.5,0,0.5,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0.143646409,0,0.02292769,0,1
0,0,0,0,0,1
0,0.037610619,0,0.004362717,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0.083333333,0,0.083333333,0,1
