RA,JC,AA,Label
0.007034537,0.02020202,0.61663644,1
0.812916696,0.154574132,10.8604897,1
0.157089115,0.055374593,3.341034563,1
0,0,0,1
0.000147623,0.007575758,0.113367797,1
0.010959268,0.028330996,10.10957655,1
0.007280013,0.035369775,2.618418613,1
0.01825226,0.041666667,1.028173064,1
0.000164069,0.017241379,0.114741743,1
0,0,0,1
0.800484044,0.025012261,9.798507286,1
0.097476963,0.006255585,1.220506581,1
0.106289002,0.017134417,8.310077363,1
0,0,0,1
0.001535817,3.25E-05,0.242051137,1
1.706539465,0.243992606,86.34686091,1
0,0,0,1
0,0,0,1
0.025462653,0.049861496,2.648204912,1
0.383266085,0.12797619,7.935880825,1
0.052508851,0.016536118,4.892953967,1
0.003081937,0.003234153,3.860893899,1
0.008304625,0.024475524,0.973076554,1
0.219563335,0.05027027,13.13873532,1
0,0,0,1
0.20507928,0.090277778,5.046086746,1
0.01590754,0.023622047,0.570668731,1
0.007814671,0.019557022,8.373874643,1
0.002371141,0.004288165,0.566658078,1
3.29E-05,0.002123142,0.181566022,1
2.850297746,0.018417914,31.69304085,1
0,0,0,1
0.022135604,0.086956522,1.219597772,1
0,0,0,1
0,0,0,1
0.07982509,0.026113671,3.033847679,1
0.151009022,0.193333333,8.665708504,1
0.128646762,0.052083333,4.440836789,1
0,0,0,1
0,0,0,1
0.729120673,0.003993867,19.83623346,1
0.00245038,0.011538462,1.073115732,1
0.002645179,0.013100437,0.409593598,1
1.55E-05,1.15E-05,0.090284792,1
0.004608295,0.2,0.185877152,1
0.000166809,0.020942408,0.371499901,1
0,0,0,1
0.024034868,0.032967033,2.966421573,1
0.105226759,0.018306636,1.493321671,1
0.039422969,0.078947368,1.010986101,1
0,0,0,1
0.071486937,0.018404908,4.024723318,1
0.01422627,0.043859649,0.819102869,1
0,0,0,1
0,0,0,1
0.015925614,0.028571429,0.342856866,1
0.000324545,0.001057977,0.499041401,1
0.045863414,0.290322581,1.626526986,1
0,0,0,1
0.14770895,0.065,2.632743152,1
0.977031781,0.002243158,3.22397021,1
0.018213042,0.091428571,2.217591895,1
0.002096436,0.005376344,0.162139818,1
0.019536306,0.007334963,0.478744486,1
0,0,0,1
0.002915023,0.011589404,2.816061151,1
0.003311501,0.022522523,0.632444696,1
0,0,0,1
2.586810166,0.021505376,8.157866307,1
0.004533455,0.02173913,0.457725751,1
1.87E-05,0.002089864,0.172370462,1
0,0,0,1
0.001845978,0.003561888,0.463076421,1
0,0,0,1
0.000470399,0.011006289,0.694944764,1
0.053348937,0.077192982,3.527442817,1
0,0,0,1
0.000225772,0.005847953,0.396932432,1
0.044790267,0.006191241,3.589069505,1
0.063068794,0.114285714,1.638367009,1
0.122768306,0.022350993,4.498004903,1
0.041220347,0.037459283,3.317146203,1
0.102558579,0.032757052,5.581440285,1
0.008045973,0.035714286,0.50594823,1
0,0,0,1
0,0,0,1
0.010697692,0.037037037,0.644178131,1
0.000937143,0.01509434,0.418802241,1
0.046098515,0.101694915,2.026662041,1
0.031738895,0.052631579,1.904310782,1
0.004161765,0.011705686,2.259168552,1
0.000381331,0.004750594,0.21306196,1
0,0,0,1
0,0,0,1
0.007146351,0.003189793,0.331685516,1
0.00066487,0.003389831,0.246048952,1
0.003831418,0.009708738,0.179710007,1
0,0,0,1
0,0,0,1
0.037976709,0.069333333,3.832027206,1
0,0,0,1
0.00171954,0.024623803,1.825353353,1
0,0,0,1
0,0,0,1
0.000359454,0.010416667,0.126088691,1
0,0,0,1
