AA,CS,JS,Label
0,0.029033787,0.052280263,1
7.414004348,0.025328276,0.099774754,1
7.029562949,0.007889725,0.049639516,1
0,0.107636304,0.100747219,1
0,0.060188054,0.065780991,1
0,0.007399305,0.055262365,1
0,0.009379215,0.062249962,1
0,0.047917689,0.088597881,1
0,0.053242668,0.063383329,1
0,0.142061156,0.136951088,1
23.50311726,0.007815507,0.021256013,1
2.760612607,0.005085983,0.02849373,1
14.31519496,0.006394489,0.034032509,1
0,0.039542588,0.047295829,1
0.627758922,0.000619278,0.014633482,1
0,0.003166358,0.060467441,1
0,0.057153607,0.045416667,1
0,0.046550211,0.036226918,1
0,0.014204742,0.047142284,1
20.30793216,0.024281705,0.097368146,1
0,0.009347385,0.034390775,1
0,0.024206694,0.09293442,1
0,0.004337066,0.018150263,1
23.80968012,0.004498087,0.038264633,1
0,0.791410054,0.733527606,1
2.816670337,0.004256857,0.019845977,1
0,0.11196503,0.116800195,1
0,0.009556136,0.097681348,1
0,0.014310005,0.03019143,1
0,0.040418658,0.050536192,1
74.7319767,0.004476252,0.024027909,1
0,0.008988853,0.015058807,1
2.527882321,0.01385159,0.02336908,1
0,0.417427592,0.252257243,1
0,0.000559506,0.01005284,1
3.338709304,0.002557737,0.038552898,1
0,0.000688163,0.010121457,1
10.40843986,0.006071614,0.047438884,1
0,0.014130302,0.031147457,1
0,0.071355188,0.071283052,1
47.30552582,0.003489148,0.03042692,1
0,0.015527187,0.037260543,1
0,0.014197392,0.032199534,1
0,0.133321855,0.145574146,1
0,0.01792178,0.022857143,1
0,0.010762452,0.041368446,1
0,0.004740496,0.019270073,1
1.132133819,0.004417009,0.046475018,1
2.955168354,0.004436404,0.021245024,1
0,0.029954537,0.046198652,1
0,0.203736028,0.080677075,1
0,0.00175056,0.017508367,1
0,0.02131647,0.02484572,1
0,0.219108926,0.122272258,1
0,0.030271071,0.029087252,1
0,0.007950628,0.02461082,1
0,0.041978423,0.053434064,1
0,0.004233014,0.013529412,1
0,0.047216417,0.051947822,1
7.230644132,0.02459456,0.076977948,1
7.423489339,0.012295791,0.032447061,1
0,0.003928138,0.027412988,1
0.408121769,0.003503548,0.012205914,1
0.932349233,0.007259494,0.021842707,1
0,0.009803826,0.016158191,1
0,0.009912841,0.05257998,1
0,0.011661983,0.037151608,1
0,0.004615367,0.031278569,1
18.0485756,0.031872051,0.048924284,1
0,0.012240785,0.028534644,1
0,0.030104981,0.046228916,1
0,0.084800039,0.049649797,1
0,0.019463404,0.033482849,1
0,0.426068018,0.422199004,1
0,0.014023799,0.03790112,1
0,0.019422622,0.12602921,1
0,0.006770662,0.017095736,1
0,0.015512104,0.03965589,1
7.49705646,0.002556841,0.057320649,1
0,0.029166931,0.06841585,1
0,0.00153633,0.019003762,1
1.288044967,0.002232724,0.018565638,1
12.33356627,0.004152108,0.020752917,1
0,0.032843503,0.051084279,1
0,0.00396762,0.015772307,1
0,0.11493362,0.081401668,1
0,0.053341846,0.067661791,1
0,0.006566938,0.030078623,1
0,0.055929915,0.123164337,1
0,0.006171275,0.020146389,1
0,0.004448697,0.019813871,1
0,0.042600349,0.051042585,1
0,0.278469189,0.243904324,1
0,0.104845209,0.068841192,1
0.469410012,0.001259564,0.0154008,1
0,0.04895188,0.060769252,1
0,0.178020256,0.134130563,1
0,0.004718497,0.015271099,1
0,0.000375823,0.01,1
0,0.012215594,0.054612375,1
0,0.040891678,0.026974151,1
0,0.007327998,0.064142878,1
0,0.012247507,0.027345159,1
0,0.021678027,0.036547905,1
0,0.106520771,0.110724764,1
0,0.061774429,0.079946837,1
0,0.07240755,0.075766846,1
9.071634445,0.00091403,0.015603078,1
0,0.028494162,0.026722751,1
0.680548109,0.00151214,0.014972455,1
0,0.032867471,0.040035677,1
0,0.01817514,0.045512,1
0,0.003100374,0.029885018,1
0,0.007609052,0.042806883,1
0,0.010535368,0.044514889,1
0,0.10968419,0.107027459,1
3.911649283,0.012779721,0.022805926,1
0,0.059486033,0.08539406,1
0,0.000403567,0.01,1
0,0.761204288,0.683501863,1
0,0.010244752,0.033919215,1
0,0.031211776,0.049182895,1
0,0.019900389,0.036513303,1
18.20260123,0.021458601,0.106769397,1
0.299131219,0.005240252,0.01476257,1
8.308721564,0.017205178,0.047325808,1
0,0.171843939,0.134628083,1
0,0.000398428,0.011525311,1
24.4265883,0.013702521,0.069307183,1
0,0.005808421,0.046822015,1
0,0.013515308,0.053925331,1
0,0.009556066,0.039902231,1
0,0.046035647,0.048294532,1
4.734519098,0.004222695,0.064079515,1
0,0.05114295,0.079120306,1
3.68102416,0.001804373,0.030754443,1
0,0.024033909,0.041040128,1
