AA,CS,JS,RA,Label
0.61663644,0.029033787,0.052280263,0.007034537,1
10.8604897,0.025328276,0.099774754,0.812916696,1
3.341034563,0.007889725,0.049639516,0.157089115,1
0,0.107636304,0.100747219,0,1
0.113367797,0.060188054,0.065780991,0.000147623,1
10.10957655,0.007399305,0.055262365,0.010959268,1
2.618418613,0.009379215,0.062249962,0.007280013,1
1.028173064,0.047917689,0.088597881,0.01825226,1
0.114741743,0.053242668,0.063383329,0.000164069,1
0,0.142061156,0.136951088,0,1
9.798507286,0.007815507,0.021256013,0.800484044,1
1.220506581,0.005085983,0.02849373,0.097476963,1
8.310077363,0.006394489,0.034032509,0.106289002,1
0,0.039542588,0.047295829,0,1
0.242051137,0.000619278,0.014633482,0.001535817,1
86.34686091,0.003166358,0.060467441,1.706539465,1
0,0.057153607,0.045416667,0,1
0,0.046550211,0.036226918,0,1
2.648204912,0.014204742,0.047142284,0.025462653,1
7.935880825,0.024281705,0.097368146,0.383266085,1
4.892953967,0.009347385,0.034390775,0.052508851,1
3.860893899,0.024206694,0.09293442,0.003081937,1
0.973076554,0.004337066,0.018150263,0.008304625,1
13.13873532,0.004498087,0.038264633,0.219563335,1
0,0.791410054,0.733527606,0,1
5.046086746,0.004256857,0.019845977,0.20507928,1
0.570668731,0.11196503,0.116800195,0.01590754,1
8.373874643,0.009556136,0.097681348,0.007814671,1
0.566658078,0.014310005,0.03019143,0.002371141,1
0.181566022,0.040418658,0.050536192,3.29E-05,1
31.69304085,0.004476252,0.024027909,2.850297746,1
0,0.008988853,0.015058807,0,1
1.219597772,0.01385159,0.02336908,0.022135604,1
0,0.417427592,0.252257243,0,1
0,0.000559506,0.01005284,0,1
3.033847679,0.002557737,0.038552898,0.07982509,1
8.665708504,0.000688163,0.010121457,0.151009022,1
4.440836789,0.006071614,0.047438884,0.128646762,1
0,0.014130302,0.031147457,0,1
0,0.071355188,0.071283052,0,1
19.83623346,0.003489148,0.03042692,0.729120673,1
1.073115732,0.015527187,0.037260543,0.00245038,1
0.409593598,0.014197392,0.032199534,0.002645179,1
0.090284792,0.133321855,0.145574146,1.55E-05,1
